xx	xy	xz	yy	yz	zz	label
0.002349	-0.044584	0.019035	0.035811	-0.104407	-0.000055	1
-0.092021	0.039238	0.022759	0.043374	0.111585	0.153239	1
-0.008472	-0.077765	-0.007831	0.156907	0.009488	-0.05773	1
0.164343	-0.188672	-0.034637	0.129134	0.035229	0.066487	1
0.040263	-0.058525	0.104932	-0.033023	-0.020724	0.041655	1
-0.022466	0.082441	0.21326	-0.144647	-0.031908	-0.140825	1
-0.058539	0.023822	0.101696	-0.44566	-0.123813	-0.127824	1
0.041871	-0.044024	0.125053	0.034603	0.041449	-0.012265	1
-0.084431	0.070122	0.047524	-0.110663	-0.114947	0.064196	1
0.222801	-0.080451	0.082497	0.148631	0.020839	0.065918	4
-0.082977	-0.002383	-0.084959	-0.09755	0.260804	-0.456404	1
-0.010171	0.031217	0.072124	-0.095122	0.012659	0.05381	1
-0.140162	-0.031983	0.097734	-0.148188	0.149409	0.22564	4
0.1266	-0.090119	0.143045	-0.024678	0.092816	0.028901	1
0.08717	0.077745	0.073234	0.111528	0.182343	0.316131	1
0.003782	-0.202815	-0.006492	0.410179	-0.004352	0.555798	1
0.020809	-0.013116	-0.089308	-0.030358	-0.009307	-0.005262	1
0.628183	-0.22985	0.099046	0.905972	-0.090559	0.658566	1
0.411798	0.022432	0.213123	0.364886	0.124459	0.292526	1
0.217401	0.279865	-0.175386	0.15552	0.006251	0.351079	1
-0.095651	0.027405	0.074982	0.099916	0.03629	-0.058539	1
-0.078947	-0.101382	-0.095119	-0.073227	0.011227	-0.141566	1
-0.091576	0.096846	-0.047916	-0.375361	0.073211	-0.464608	1
0.103508	-0.076174	0.131263	-0.118541	0.051631	-0.031326	1
-0.013481	0.024522	0.045126	0.051675	-0.000842	0.01706	1
-0.006576	-0.037556	-0.102279	0.007375	-0.180554	0.239953	1
-0.427269	0.225273	-0.171678	-0.871069	0.212196	-0.895212	1
0.859677	-0.417862	-0.198678	0.202238	0.060414	-0.086419	1
0.039973	0.101187	-0.078502	-0.29069	0.066945	-0.369734	1
-0.072963	0.17875	0.170109	-0.358009	-0.184729	0.00483	1
-0.045796	0.015312	0.014208	-0.092806	-0.013648	-0.146198	1
-0.059217	-0.060285	-0.014274	0.1407	-0.076064	-0.602219	1
-0.284254	0.258735	-0.095358	-0.601668	0.185172	-0.487556	1
-0.372244	0.602713	-0.011614	-0.737113	0.229278	-0.764354	1
-0.209211	0.155996	-0.069117	-0.308577	0.075241	-0.848728	1
-0.189479	0.05562	-0.137669	-0.565403	0.3031	0.095492	2
0.099509	-0.281245	-0.130044	0.338542	0.561718	0.11183	3
-0.213307	0.266664	-0.105714	-0.590049	0.091048	-0.66965	1
-0.139318	0.18301	0.267588	0.150361	-0.417884	1.344491	4
0.513975	-0.533449	0.36934	0.5536	-0.500014	0.461683	4
-0.131078	-0.16834	-0.558634	0.119714	0.898377	-1.035371	1
-0.062441	-0.169707	0.115385	-0.318624	-0.649616	0.767454	1
0.026196	0.132523	-0.173909	-0.341167	0.534613	0.197481	1
0.327528	-0.577932	0.147603	-0.068711	-0.037564	0.188757	2
0.106568	-0.079278	0.041084	0.178101	-0.289279	-0.155125	1
0.732722	-0.747618	0.462899	1.601817	-0.955696	1.26986	1
0.342381	-0.263487	-0.145054	0.891918	0.33287	0.170214	1
0.141895	0.168971	-0.3697	-0.167633	0.80165	-0.098303	1
